"id","plot","sector","use","allottee","legalEntity","parentBrand","area","stage","currentState","eventHistory","sourceStrength","confidence","crossVerified","lastVerified","sourceIds","allotmentDate","leaseDate","possessionDate","lat","lon","confidenceLevel","verifiedAt","crossVerificationStatus","marketIds","marketAssignmentMethod","marketAssignmentConfidence","marketAssignmentReviewedAt","mdpLedger","schemeInstrument","allotmentLetter","premiumConsideration","leaseDeed","possession","buildingPlanApproval","construction","commissioningOperation","productMade","capexClaim","jobsClaim","recordType","aggregate","aggregateReason"
"plot-quarks-technosoft-may2026","Plot number, sector and area not publicly disclosed",,"Data-processing and IT-services centre","Quarks Technosoft Private Limited","Quarks Technosoft Private Limited",,,"allotted","Allotment letter issued in the May 2026 event; lease deed, possession, construction and phased hiring not publicly verified","[""Allotment-letter distribution 2026-05-22""]","HIGH/MEDIUM","HIGH event / LOW parcel and conversion","true","2026-08-16","[""src-investup-may2026"",""src-may2026-prokerala"",""src-quarks-profile"",""src-quarks-scale""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,"Rs 47.47 crore","About 1,800 projected jobs; direct/indirect split unavailable",,,
"plot-sainath-sales-may2026","Plot number, sector and area not publicly disclosed",,"Electronic-products manufacturing","Sainath Sales and Services Private Limited","Sainath Sales and Services Private Limited",,,"allotted","Allotment letter issued in the May 2026 event; existing manufacturing scale, lease deed, possession and construction not publicly verified","[""Allotment-letter distribution 2026-05-22""]","HIGH/MEDIUM","HIGH project / LOW scale, parcel and conversion","true","2026-08-16","[""src-investup-may2026"",""src-may2026-prokerala""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,"Rs 37.19 crore","300 projected jobs; direct/indirect split unavailable",,,
"plot-summercool-may2026","Plot number, sector and area not publicly disclosed",,"Electrical and electronic home-appliance manufacturing","Summercool Home Appliances Limited","Summercool Home Appliances Limited","Summercool",,"allotted","Allotment letter issued in the May 2026 event; lease deed, possession and construction not publicly verified","[""Allotment-letter distribution 2026-05-22""]","HIGH/MEDIUM","HIGH project / MEDIUM business profile / LOW parcel and conversion","true","2026-08-16","[""src-investup-may2026"",""src-may2026-prokerala""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,"Rs 46.13 crore","532 projected jobs; direct/indirect split unavailable",,,
"plot-angility-elektrotekniks-may2026","Plot number, sector and area not publicly disclosed",,"Control panels and electrical/electronic relays","Angility Elektrotekniks Private Limited","Angility Elektrotekniks Private Limited",,,"allotted","Allotment letter issued in the May 2026 event; business scale, lease deed, possession and construction not publicly verified","[""Allotment-letter distribution 2026-05-22""]","HIGH/MEDIUM","HIGH project / LOW scale, parcel and conversion","true","2026-08-16","[""src-investup-may2026"",""src-may2026-prokerala""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,"Rs 35 crore","100 projected jobs; direct/indirect split unavailable",,,
"plot-sahu-attire-may2026","Plot number, sector and area not publicly disclosed",,"Ready-made garment manufacturing","Sahu International Attire Private Limited","Sahu International Attire Private Limited","Publicly associated with Sahu Exports; legal relationship not treated as proved",,"allotted","Allotment letter issued in the May 2026 event; lease deed, possession, construction and large workforce plan not publicly verified","[""Allotment-letter distribution 2026-05-22""]","HIGH/MEDIUM","HIGH event / MEDIUM business profile / LOW parcel and conversion","true","2026-08-16","[""src-investup-may2026"",""src-may2026-prokerala"",""src-sahu-attire-profile""]",,,,,,"LOW","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,"Rs 70 crore","1,992 projected jobs; 70% local-hiring claim",,,
"plot-sept2025-general-msme-unresolved","22 successful plots; official result page unavailable","29 / 32 / 33","General industrial / MSME","Successful applicants not safely resolved","Unresolved aggregate; natural persons and proprietors excluded",,,"allotted","E-auction allotment count reported 26 September 2025; applicant identities and all later conversion events require certified authority records","[""E-auction 2025-09-26"",""Successful-applicant page later unavailable""]","HIGH scheme / MEDIUM event","MEDIUM count / UNRESOLVED identities and conversion","true","2026-08-16","[""src-themed-49"",""src-industrial-8000-brochure"",""src-yeida-property-archive""]",,,,,,"MEDIUM","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,"true","The authority's successful-applicant page now returns Page Not Found"
"plot-sept2025-toy-unresolved","2 successful plots; official result page unavailable","29 / 32 / 33; exact mapping unavailable","Toy Park","Successful applicants not safely resolved","Unresolved aggregate; natural persons and proprietors excluded",,,"allotted","E-auction allotment count reported 26 September 2025; applicant identities and all later conversion events require certified authority records","[""E-auction 2025-09-26"",""Successful-applicant page later unavailable""]","HIGH scheme / MEDIUM event","MEDIUM count / UNRESOLVED identities and conversion","true","2026-08-16","[""src-themed-49"",""src-industrial-8000-brochure"",""src-yeida-property-archive""]",,,,,,"MEDIUM","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,"true","The authority's successful-applicant page now returns Page Not Found"
"plot-sept2025-apparel-unresolved","8 successful plots; official result page unavailable","29 / 32 / 33; exact mapping unavailable","Apparel Park","Successful applicants not safely resolved","Unresolved aggregate; natural persons and proprietors excluded",,,"allotted","E-auction allotment count reported 26 September 2025; applicant identities and all later conversion events require certified authority records","[""E-auction 2025-09-26"",""Successful-applicant page later unavailable""]","HIGH scheme / MEDIUM event","MEDIUM count / UNRESOLVED identities and conversion","true","2026-08-16","[""src-themed-49"",""src-industrial-8000-brochure"",""src-yeida-property-archive""]",,,,,,"MEDIUM","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,"true","The authority's successful-applicant page now returns Page Not Found"
"plot-sept2025-handicraft-unresolved","5 successful plots; official result page unavailable","29 / 32 / 33; exact mapping unavailable","Handicraft Park","Successful applicants not safely resolved","Unresolved aggregate; natural persons and proprietors excluded",,,"allotted","E-auction allotment count reported 26 September 2025; applicant identities and all later conversion events require certified authority records","[""E-auction 2025-09-26"",""Successful-applicant page later unavailable""]","HIGH scheme / MEDIUM event","MEDIUM count / UNRESOLVED identities and conversion","true","2026-08-16","[""src-themed-49"",""src-industrial-8000-brochure"",""src-yeida-property-archive""]",,,,,,"MEDIUM","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,"true","The authority's successful-applicant page now returns Page Not Found"
"plot-sept2025-mdp-unresolved","12 draw-result plots; official eligibility/result page unavailable","28","Medical Device Park","Successful applicants not safely resolved","Unresolved aggregate; natural persons and proprietors excluded",,,"allotted","Draw held 22 September 2025; applicant identities and all later conversion events require certified authority records","[""Medical Device Park draw 2025-09-22"",""Final eligibility/result page later unavailable""]","HIGH scheme / MEDIUM event","MEDIUM count / UNRESOLVED identities and conversion","true","2026-08-16","[""src-themed-49"",""src-mdp-2025-brochure"",""src-yeida-property-archive""]",,,,,,"MEDIUM","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,"true","The authority's final eligibility/result page is no longer publicly linked"
"plot-hotel-equasocio-sector29","Hotel plot number not publicly disclosed","29","Hotel","Equasocio Digital Technologies","Exact legal suffix requires the allotment instrument",,"4,000 sqm","allotted","E-auction allotment reported; hotel operator, lease, finance, construction and commissioning not verified","[""E-auction/allotment 2025-02""]","MEDIUM","HIGH bidder/area/bid / LOW legal form and conversion","false","2026-08-16","[""src-sector29-hotels""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,"Rs 31 crore winning bid; Rs 26 crore reserve",,,,,,,,,,,
"plot-hotel-net2source-sector29","Hotel plot number not publicly disclosed","29","Hotel","Net2Source Consulting","Exact Indian allottee legal entity requires the allotment instrument","Net2Source","3,400 sqm","allotted","E-auction allotment reported; hotel operator, lease, finance, construction and commissioning not verified","[""E-auction/allotment 2025-02""]","MEDIUM","HIGH bidder/area/bid / LOW legal form and conversion","false","2026-08-16","[""src-sector29-hotels""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,"Rs 29 crore winning bid; Rs 23 crore reserve",,,,,,,,,,,
"plot-hotel-balaji-enterprises-sector29","Hotel plot number not publicly disclosed","29","Hotel","Balaji Enterprises","Business constitution unresolved; no natural-person identity published",,"3,400 sqm","allotted","E-auction allotment reported; legal form, hotel operator, lease, finance, construction and commissioning not verified","[""E-auction/allotment 2025-02""]","MEDIUM","HIGH reported bidder/area/bid / LOW legal form and conversion","false","2026-08-16","[""src-sector29-hotels""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,"Rs 23 crore winning bid; Rs 22 crore reserve",,,,,,,,,,,
"plot-hotel-ranchor-infra-sector29","Hotel plot number not publicly disclosed","29","Hotel","Ranchor Infra Developers","Exact legal suffix requires the allotment instrument",,"3,400 sqm","allotted","E-auction allotment reported; hotel operator, lease, finance, construction and commissioning not verified","[""E-auction/allotment 2025-02""]","MEDIUM","HIGH bidder/area/bid / LOW legal form and conversion","false","2026-08-16","[""src-sector29-hotels""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,"Rs 23 crore winning bid; Rs 22 crore reserve",,,,,,,,,,,
"plot-bpcl-sector18","Fuel-station plot","18","Fuel station","Bharat Petroleum Corporation Ltd","Bharat Petroleum Corporation Ltd","BPCL","2,100 sqm","allotted","E-auction/allotment reported; operation not verified","[""E-auction/allotment""]","MEDIUM","MEDIUM","false","2025 / reviewed 2026-08-15","[""src-sector29-hotels""]",,,,,,"MEDIUM","2026-08-15","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-university-mangalayatan-22e","Institutional plot number not publicly disclosed","22E","University campus","Acharya Kund Kund Educational Society","Acharya Kund Kund Educational Society","Mangalayatan University","10 acres","allotted","Institutional allotment reported September 2024; lease, construction and operating-campus milestones not verified","[""Institutional allotment reported 2024-09""]","MEDIUM","HIGH reported allottee/area / LOW parcel and conversion","false","2026-08-16","[""src-sector22e-universities""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-university-amity-22e","Institutional plot number not publicly disclosed","22E","University campus","Amity University","Exact landholding trust/society/company requires the allotment instrument","Amity","10 acres","allotted","Institutional allotment reported September 2024; lease, construction and operating-campus milestones not verified","[""Institutional allotment reported 2024-09""]","MEDIUM","HIGH reported institution/area / LOW legal entity, parcel and conversion","false","2026-08-16","[""src-sector22e-universities""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-university-mgm-22e","Institutional plot number not publicly disclosed","22E","University campus","Mahatma Gandhi Mission","Exact landholding trust/society/company requires the allotment instrument","MGM","10 acres","allotted","Institutional allotment reported September 2024; lease, construction and operating-campus milestones not verified","[""Institutional allotment reported 2024-09""]","MEDIUM","HIGH reported institution/area / LOW legal entity, parcel and conversion","false","2026-08-16","[""src-sector22e-universities""]",,,,,,"LOW","2026-08-16","NOT_VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-jaypee-sports-city","Sports City master allotment","19 / 25","Sports city and mixed development","Jaiprakash Associates Ltd","Jaiprakash Associates Ltd","Jaypee Group","Approximately 1,000 hectares","failed","Master allotment cancelled; wholesale re-allotment not proven; buyer/sublessee protections remain legally complex","[""Allotted 2008"",""Subleases"",""Cancelled 2020-02-20"",""High Court upheld cancellation 2025-03-10"",""Further proceedings""]","HIGH","HIGH","true","2026-08-15","[""src-cag-yeida""]",,,,,,"HIGH","2026-08-15","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
"plot-supertech-township-22d","Township parcel; linked housing register reports TS-05","22D","Township / group housing","Supertech Township Projects Limited","Supertech Township Projects Limited","Supertech Group","About 100 acres","failed","Allotment cancelled in June 2024 except portions with protected third-party rights; CIRP and approximately 3,200 affected buyers require transaction-level legal review","[""Allotted 2011"",""Development/payment failures"",""Cancellation 2024-06"",""Buyer-right carve-out""]","HIGH/MEDIUM","HIGH","true","2026-08-16","[""src-cag-yeida"",""src-supertech-sunworld-cancel"",""src-supertech-cirp""]",,,,,,"HIGH","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,"Rs 677 crore authority dues reported in June 2024",,,,,,,,,,,
"plot-sunworld-infrastructure-22d","Township parcel number not publicly disclosed","22D","Township / group housing","Sunworld Infrastructure","Exact allottee legal suffix requires the allotment instrument","Sunworld Group","About 100 acres","failed","Allotment cancelled in June 2024 except portions with protected third-party rights; promoter reported possession only in 2019 and said buyers had been refunded","[""Allotted 2011"",""Possession reported 2019"",""Development/payment failures"",""Cancellation 2024-06"",""Buyer-right carve-out""]","HIGH/MEDIUM","HIGH event / MEDIUM exact legal entity","true","2026-08-16","[""src-cag-yeida"",""src-supertech-sunworld-cancel""]",,,,,,"MEDIUM","2026-08-16","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,"Rs 816 crore authority dues reported in June 2024; promoter said about Rs 100 crore had been paid",,,,,,,,,,,
"plot-orris-ats-chain-22d","Township parcel and subleases","22D","Township / group housing","Orris group with ATS-related subleases","Parcel-level chain unresolved","Orris / ATS","Approximately 800,000 sqm original parcel","possessed","Development exists, but original eligibility, transfer charges, dues and parcel-by-parcel title require deed/mutation reconciliation","[""Original township allotment"",""Subleases to ATS-related entities"",""CAG findings"",""Partial development""]","HIGH","MEDIUM","true","2026-08-15","[""src-cag-yeida"",""src-rera-ats-allure""]",,,,,,"MEDIUM","2026-08-15","VERIFIED","[""gbn"",""yeida""]","COLLECTION_SCOPE","HIGH","2026-08-17",,,,,,,,,,,,,,,
